,station,in,out,route,no,color
0,松山機場,5151.708333333333,4804.883333333333,BR,13,brown
1,中山國中,9930.483333333334,9671.208333333334,BR,12,brown
2,南京復興,22855.708333333332,24025.5,BR,11,black
4,忠孝復興,47146.058333333334,47304.5,BR,10,black
6,大安,16090.016666666666,16677.975,BR,09,black
8,科技大樓,10321.416666666666,10039.991666666667,BR,08,brown
9,六張犁,8220.875,8098.225,BR,07,brown
10,麟光,4091.65,3978.0583333333334,BR,06,brown
11,辛亥,2484.4,2393.35,BR,05,brown
12,萬芳醫院,9002.241666666667,9650.566666666668,BR,04,brown
13,萬芳社區,1978.0166666666667,1664.5666666666666,BR,03,brown
14,木柵,3300.0333333333333,3317.075,BR,02,brown
15,動物園,10369.458333333334,10932.466666666667,BR,01,brown
16,大直,6616.925,6931.408333333334,BR,14,brown
17,劍南路,11989.391666666666,12416.466666666667,BR,15,brown
18,西湖,5779.35,6054.666666666667,BR,16,brown
19,港墘,7208.591666666666,7264.133333333333,BR,17,brown
20,文德,4016.0333333333333,4062.0333333333333,BR,18,brown
21,內湖,8079.583333333333,7858.766666666666,BR,19,brown
22,大湖公園,3437.45,3514.0916666666667,BR,20,brown
23,葫洲,5904.358333333334,5717.975,BR,21,brown
24,東湖,6570.816666666667,6813.375,BR,22,brown
25,南港軟體園區,2663.0416666666665,2619.4666666666667,BR,23,brown
26,南港展覽館,23017.15,21298.858333333334,BR,24,black
28,小碧潭,3391.516666666667,3539.516666666667,G,03A,green
29,新店,13370.55,12468.483333333334,G,01,green
30,新店區公所,9283.6,9899.158333333333,G,02,green
31,七張,14133.183333333332,13504.708333333334,G,03,green
32,大坪林,15791.083333333334,15422.85,G,04,black
34,景美,14996.35,15135.683333333332,G,05,green
35,萬隆,8902.95,8617.7,G,06,green
36,公館,29851.075,29680.558333333334,G,07,green
37,台電大樓,16718.025,16633.05,G,08,green
38,古亭,25327.208333333332,25210.991666666665,G,09,black
40,中正紀念堂,26746.291666666668,26932.35,R,08,black
42,小南門,5022.7,5276.025,G,11,green
43,頂溪,31038.783333333333,31580.916666666668,O,04,orange
44,永安市場,21941.516666666666,22300.466666666667,O,03,orange
45,景安,20367.683333333334,19605.183333333334,O,02,black
47,南勢角,18371.4,18286.341666666667,O,01,orange
48,台大醫院,13195.391666666666,13613.783333333333,R,09,red
49,台北車站,175962.14166666666,171101.75,R,10,black
51,中山,43610.74166666667,45363.066666666666,R,11,black
53,雙連,18078.508333333335,18920.316666666666,R,12,red
54,民權西路,19271.016666666666,18358.283333333333,R,13,black
56,圓山,29858.841666666667,29289.658333333333,R,14,red
57,劍潭,34245.50833333333,33423.333333333336,R,15,red
58,士林,27713.033333333333,28461.683333333334,R,16,red
59,芝山,20514.5,21145.6,R,17,red
60,明德,8914.141666666666,8657.858333333334,R,18,red
61,石牌,23202.166666666668,24207.408333333333,R,19,red
62,唭哩岸,6271.291666666667,5950.825,R,20,red
63,奇岩,6912.958333333333,5916.858333333334,R,21,red
64,北投,15705.033333333333,16582.658333333333,R,22,red
65,新北投,7346.766666666666,7294.825,R,22A,red
66,復興崗,3046.7166666666667,3058.9583333333335,R,23,red
67,忠義,1960.6083333333333,1930.4916666666666,R,24,red
68,關渡,8916.775,9390.591666666667,R,25,red
69,竹圍,8190.25,8375.391666666666,R,26,red
70,紅樹林,9824.016666666666,11276.658333333333,R,27,red
71,淡水,43545.48333333333,41446.808333333334,R,28,red
72,頂埔,6852.3,6649.708333333333,BL,01,blue
73,永寧,11981.908333333333,12159.558333333332,BL,02,blue
74,土城,6422.091666666666,6271.316666666667,BL,03,blue
75,海山,17465.775,17457.591666666667,BL,04,blue
76,亞東醫院,17306.7,15869.658333333333,BL,05,blue
77,府中,29700.408333333333,27105.591666666667,BL,06,blue
78,板橋,43632.14166666667,45256.308333333334,BL,07,black
80,新埔,33341.725,31933.375,BL,08,blue
81,江子翠,20728.1,21082.191666666666,BL,09,blue
82,龍山寺,32192.133333333335,30891.45,BL,10,blue
83,西門,83475.225,85348.36666666667,G,12,black
85,善導寺,15446.466666666667,15937.366666666667,BL,13,blue
86,忠孝新生,32119.408333333333,32017.733333333334,O,07,black
88,忠孝敦化,30752.466666666667,32339.45,BL,16,blue
89,國父紀念館,19408.608333333334,21473.575,BL,17,blue
90,市政府,58356.34166666667,58548.975,BL,18,blue
91,永春,15178.833333333334,15029.066666666668,BL,19,blue
92,後山埤,14171.85,14319.35,BL,20,blue
93,昆陽,8878.033333333333,9246.633333333333,BL,21,blue
94,南港,16205.458333333334,16538.633333333335,BL,22,blue
95,象山,10630.575,10065.058333333332,R,02,red
96,台北101/世貿,35530.71666666667,36860.691666666666,R,03,red
97,信義安和,13045.875,13753.9,R,04,red
98,大安森林公園,10296.5,10222.2,R,06,red
99,北門,12500.025,12295.691666666668,G,13,green
100,松江南京,19805.575,20671.708333333332,G,15,black
102,台北小巨蛋,16363.808333333332,17343.208333333332,G,17,green
103,南京三民,15760.491666666667,16564.491666666665,G,18,green
104,松山,20276.633333333335,19304.733333333334,G,19,green
105,輔大,7746.383333333333,8288.391666666666,O,19,orange
106,新莊,8778.0,9406.825,O,18,orange
107,頭前庄,4269.741666666667,4132.975,O,17,black
109,先嗇宮,2479.7083333333335,2460.9666666666667,O,16,orange
110,三重,7070.541666666667,7192.083333333333,O,15,orange
111,菜寮,7770.65,7746.508333333333,O,14,orange
112,台北橋,9062.941666666668,9300.366666666667,O,13,orange
113,大橋頭,13065.533333333333,10382.425,O,12,orange
114,中山國小,13328.516666666666,13447.225,O,10,orange
115,行天宮,20684.791666666668,21205.166666666668,O,09,orange
116,東門,23731.375,24211.858333333334,R,07,black
118,蘆洲,11531.491666666667,10657.716666666667,O,54,orange
119,三民高中,9939.066666666668,9910.658333333333,O,53,orange
120,徐匯中學,10334.941666666668,10678.325,O,52,orange
121,三和國中,10065.2,9674.391666666666,O,51,orange
122,三重國小,10195.383333333333,10254.833333333334,O,50,orange
123,迴龍,7994.575,7773.566666666667,O,21,orange
124,丹鳳,7984.058333333333,7371.375,O,20,orange
