,station,in,out,route,no,color
0,松山機場,6187.877551020408,5989.551020408163,BR,13,brown
1,中山國中,16201.138775510204,16007.661224489795,BR,12,brown
2,南京復興,43454.00816326531,46090.59591836735,BR,11,black
4,忠孝復興,48559.244897959186,48750.35102040816,BR,10,black
6,大安,28279.563265306122,28140.53469387755,BR,09,black
8,科技大樓,16235.657142857142,15687.375510204081,BR,08,brown
9,六張犁,12691.991836734695,12400.420408163265,BR,07,brown
10,麟光,4627.05306122449,4248.632653061224,BR,06,brown
11,辛亥,3427.2122448979594,3167.3102040816325,BR,05,brown
12,萬芳醫院,14883.734693877552,15501.232653061224,BR,04,brown
13,萬芳社區,2788.2204081632653,2224.5755102040816,BR,03,brown
14,木柵,4527.963265306123,4747.644897959183,BR,02,brown
15,動物園,7069.114285714286,7075.118367346939,BR,01,brown
16,大直,10402.355102040816,10351.032653061224,BR,14,brown
17,劍南路,11966.314285714287,12032.68163265306,BR,15,brown
18,西湖,18954.269387755103,19474.093877551022,BR,16,brown
19,港墘,18337.404081632652,18022.685714285715,BR,17,brown
20,文德,6058.187755102041,5810.2326530612245,BR,18,brown
21,內湖,9656.130612244899,9531.546938775511,BR,19,brown
22,大湖公園,3520.191836734694,3335.134693877551,BR,20,brown
23,葫洲,9059.995918367347,9039.81224489796,BR,21,brown
24,東湖,8838.591836734693,9020.538775510204,BR,22,brown
25,南港軟體園區,6077.097959183673,5767.90612244898,BR,23,brown
26,南港展覽館,33856.526530612246,31867.404081632652,BR,24,black
28,小碧潭,3137.077551020408,3261.3142857142857,G,03A,green
29,新店,13552.444897959183,11585.359183673469,G,01,green
30,新店區公所,11897.18775510204,12818.404081632652,G,02,green
31,七張,18037.473469387754,17805.248979591837,G,03,green
32,大坪林,23176.51836734694,22589.54693877551,G,04,black
34,景美,17808.718367346937,17979.18775510204,G,05,green
35,萬隆,10691.591836734693,10233.718367346939,G,06,green
36,公館,30116.89387755102,29069.412244897958,G,07,green
37,台電大樓,19149.424489795918,18979.514285714286,G,08,green
38,古亭,35917.95918367347,35772.09795918367,G,09,black
40,中正紀念堂,31025.342857142856,30360.395918367347,R,08,black
42,小南門,11472.265306122448,11613.702040816326,G,11,green
