,date,name,isHoliday,holidayCategory,description
0,2013-01-01,中華民國開國紀念日,是,放假之紀念日及節日,全國各機關學校放假一日。
1,2013-01-05,,是,星期六、星期日,
2,2013-01-06,,是,星期六、星期日,
3,2013-01-12,,是,星期六、星期日,
4,2013-01-13,,是,星期六、星期日,
5,2013-01-19,,是,星期六、星期日,
6,2013-01-20,,是,星期六、星期日,
7,2013-01-26,,是,星期六、星期日,
8,2013-01-27,,是,星期六、星期日,
9,2013-02-02,,是,星期六、星期日,
10,2013-02-03,,是,星期六、星期日,
11,2013-02-09,農曆除夕,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期六，於二月十三日補假一日。
12,2013-02-10,春節,是,放假之紀念日及節日,全國各機關學校於二月十日至二月十二日放假三日，二月十日適逢星期日，於二月十四日補假一日。
13,2013-02-11,春節,是,放假之紀念日及節日,全國各機關學校於二月十日至二月十二日放假三日，二月十日適逢星期日，於二月十四日補假一日。
14,2013-02-12,春節,是,放假之紀念日及節日,全國各機關學校於二月十日至二月十二日放假三日，二月十日適逢星期日，於二月十四日補假一日。
15,2013-02-13,,是,補假,
16,2013-02-14,,是,補假,
17,2013-02-15,,是,調整放假日,二月十五日全國各機關學校調整假，於二月二十三日補行上班一日。
18,2013-02-16,,是,星期六、星期日,
19,2013-02-17,,是,星期六、星期日,
20,2013-02-23,,否,補行上班日,
21,2013-02-24,,是,星期日,
22,2013-02-28,和平紀念日,是,放假之紀念日及節日,全國各機關學校放假一日。
23,2013-03-02,,是,星期六、星期日,
24,2013-03-03,,是,星期六、星期日,
25,2013-03-08,婦女節,否,紀念日及節日,本日照常上班。
26,2013-03-09,,是,星期六、星期日,
27,2013-03-10,,是,星期六、星期日,
28,2013-03-16,,是,星期六、星期日,
29,2013-03-17,,是,星期六、星期日,
30,2013-03-23,,是,星期六、星期日,
31,2013-03-24,,是,星期六、星期日,
32,2013-03-29,青年節,否,紀念日及節日,本日照常上班。
33,2013-03-30,,是,星期六、星期日,
34,2013-03-31,,是,星期六、星期日,
35,2013-04-04,清明節、兒童節,是,放假之紀念日及節日,全國各機關學校放假一日，適逢民族掃墓節，調整至四月五日放假。
36,2013-04-05,,是,調整放假日,
37,2013-04-06,,是,星期六、星期日,
38,2013-04-07,,是,星期六、星期日,
39,2013-04-13,,是,星期六、星期日,
40,2013-04-14,,是,星期六、星期日,
